entity	file	value	xpath	attributes	attribute_values
manuscripts	1.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	10.xml	מאה יד - טז	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	10.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	10.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	10.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	100.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	100.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	100.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	100.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1000.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1000.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1000.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1000.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1001.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1001.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1001.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1001.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1002.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1002.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1002.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1002.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1003.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1003.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1003.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1003.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1004.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1004.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1004.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1004.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1005.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1005.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1005.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1005.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1006.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1006.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1006.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1006.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1007.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1007.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
