host_ms	bibl_xml_id	bibl_xpath_readable	ref_ms	target	ref_resolvable	would_add	would_remove	would_keep	severity	issues
9		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	255	https://jalit.org/manuscript/255	yes	0	0	0	INFO	REF_NO_LOCI
16		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	39	https://jalit.org/manuscript/39	yes	0	0	0	INFO	REF_NO_LOCI
19		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	32	https://jalit.org/manuscript/32	yes	0	0	0	INFO	REF_NO_LOCI
21		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	284	https://jalit.org/manuscript/284	yes	0	0	0	INFO	REF_NO_LOCI
27		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	28	https://jalit.org/manuscript/28	yes	0	0	0	INFO	REF_NO_LOCI
27		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	42	https://jalit.org/manuscript/42	yes	0	0	0	INFO	REF_NO_LOCI
28		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	27	https://jalit.org/manuscript/27	yes	0	0	0	INFO	REF_NO_LOCI
28		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	42	https://jalit.org/manuscript/42	yes	0	0	0	INFO	REF_NO_LOCI
29		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	50	https://jalit.org/manuscript/50	yes	0	0	0	INFO	REF_NO_LOCI
29		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	52	https://jalit.org/manuscript/52	yes	0	0	0	INFO	REF_NO_LOCI
32		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	19	https://jalit.org/manuscript/19	yes	0	0	0	INFO	REF_NO_LOCI
39		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	16	https://jalit.org/manuscript/16	yes	0	0	0	INFO	REF_NO_LOCI
42		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	27	https://jalit.org/manuscript/27	yes	0	0	0	INFO	REF_NO_LOCI
42		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	28	https://jalit.org/manuscript/28	yes	0	0	0	INFO	REF_NO_LOCI
48		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	58	https://jalit.org/manuscript/58	yes	0	0	0	INFO	REF_NO_LOCI
50		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	29	https://jalit.org/manuscript/29	yes	0	0	0	INFO	REF_NO_LOCI
50		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	52	https://jalit.org/manuscript/52	yes	0	0	0	INFO	REF_NO_LOCI
52		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	29	https://jalit.org/manuscript/29	yes	0	0	0	INFO	REF_NO_LOCI
52		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	50	https://jalit.org/manuscript/50	yes	0	0	0	INFO	REF_NO_LOCI
58		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	48	https://jalit.org/manuscript/48	yes	0	0	0	INFO	REF_NO_LOCI
61		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	74	https://jalit.org/manuscript/74	yes	0	0	0	INFO	REF_NO_LOCI
67		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	87	https://jalit.org/manuscript/87	yes	0	0	0	INFO	REF_NO_LOCI
72		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	239	https://jalit.org/manuscript/239	yes	0	0	0	INFO	REF_NO_LOCI
72		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	204	https://jalit.org/manuscript/204	yes	0	0	0	INFO	REF_NO_LOCI
73		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	91	https://jalit.org/manuscript/91	yes	0	0	0	INFO	REF_NO_LOCI
74		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	61	https://jalit.org/manuscript/61	yes	0	0	0	INFO	REF_NO_LOCI
76		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	141	https://jalit.org/manuscript/141	yes	0	0	0	INFO	REF_NO_LOCI
