host_ms	file	bibl_xml_id	bibl_xpath	bibl_xpath_readable	ref_ms	action	changed	reason	n_before	n_after	citedRanges_before	citedRanges_after
114	data/manuscripts/tei/114.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	118	skipped	no	referenced ms 118 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
114	data/manuscripts/tei/114.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	117	skipped	no	referenced ms 117 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
114	data/manuscripts/tei/114.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	116	skipped	no	referenced ms 116 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
116	data/manuscripts/tei/116.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	118	skipped	no	referenced ms 118 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
116	data/manuscripts/tei/116.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	117	skipped	no	referenced ms 117 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
116	data/manuscripts/tei/116.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	114	skipped	no	referenced ms 114 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
117	data/manuscripts/tei/117.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	118	skipped	no	referenced ms 118 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
117	data/manuscripts/tei/117.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	116	skipped	no	referenced ms 116 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
117	data/manuscripts/tei/117.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	114	skipped	no	referenced ms 114 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
118	data/manuscripts/tei/118.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	117	skipped	no	referenced ms 117 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
118	data/manuscripts/tei/118.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	116	skipped	no	referenced ms 116 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
118	data/manuscripts/tei/118.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	114	skipped	no	referenced ms 114 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
1319	data/manuscripts/tei/1319.xml	jalit-orgmanuscript342	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	342	regenerated	yes	removed all citedRanges, regenerated from referenced loci	0	1		"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""1v"">1r–1v</citedRange>"
1319	data/manuscripts/tei/1319.xml	jalit-orgmanuscript358	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	358	regenerated	yes	removed all citedRanges, regenerated from referenced loci	0	1		"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""75v"">1r–75v</citedRange>"
1319	data/manuscripts/tei/1319.xml	jalit-orgmanuscript364	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	364	regenerated	yes	removed all citedRanges, regenerated from referenced loci	0	1		"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""1v"">1r–1v</citedRange>"
1319	data/manuscripts/tei/1319.xml	jalit-orgmanuscript365	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[4]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	365	regenerated	yes	removed all citedRanges, regenerated from referenced loci	0	1		"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""8v"">1r–8v</citedRange>"
134	data/manuscripts/tei/134.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	88	skipped	no	referenced ms 88 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
134	data/manuscripts/tei/134.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	136	skipped	no	referenced ms 136 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
136	data/manuscripts/tei/136.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	88	skipped	no	referenced ms 88 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
136	data/manuscripts/tei/136.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	134	skipped	no	referenced ms 134 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
1360	data/manuscripts/tei/1360.xml	jalit-orgmanuscript356	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	356	regenerated	yes	removed all citedRanges, regenerated from referenced loci	0	1		"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1"" to=""92"">1–92</citedRange>"
139	data/manuscripts/tei/139.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	164	skipped	no	referenced ms 164 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
141	data/manuscripts/tei/141.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	76	skipped	no	referenced ms 76 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
142	data/manuscripts/tei/142.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	143	skipped	no	referenced ms 143 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
143	data/manuscripts/tei/143.xml		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	142	skipped	no	referenced ms 142 has no usable loci (REF_NO_LOCI); nothing to generate — existing citedRanges left untouched	0	0		
1469	data/manuscripts/tei/1469.xml	jalit-orgmanuscript341	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	341	regenerated	yes	removed all citedRanges, regenerated from referenced loci	0	1		"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""2v"">1r–2v</citedRange>"
1469	data/manuscripts/tei/1469.xml	jalit-orgmanuscript630	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	630	regenerated	yes	removed all citedRanges, regenerated from referenced loci	0	1		"<citedRange xmlns=""http://www.tei-c.org/ns/1.0"" unit=""folios"" from=""1r"" to=""12v"">1r–12v</citedRange>"
