ms_id	locus_xpath	locus_xpath_readable	unit	from	to	text	other_attrs	n_issues	issues
1	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
10	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
100	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1000	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1001	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1002	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1003	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1004	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1005	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1006	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1007	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1008	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1009	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
101	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1010	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1011	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1012	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1013	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1014	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1015	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1016	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1017	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1018	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1019	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
102	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1020	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1021	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1022	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1023	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1025	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1026	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1027	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1028	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1029	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
103	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1030	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1031	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1032	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1033	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1034	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1035	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1036	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1037	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1038	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1039	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
104	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1040	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1041	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1042	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1043	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1044	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1045	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1046	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1047	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1048	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1049	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
105	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1050	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1051	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1052	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1053	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1054	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
1055	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	(absent)					1	BOTH_EMPTY: no @from, @to or text content
