work_file	author_ref	author_text	author_xpath	author_named_xpath	title_text	title_xpath	title_named_xpath	person_headword	person_headword_xpath	person_named_xpath
10.xml	https://jalit.org/person/8	Aharon ben Yešuʿa	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/8']	Guide for the Reader (Short Version) (Aharon ben Yešuʿa)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Aharon ben Yešuʿa	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
11.xml	https://jalit.org/person/8	Aharon ben Yešuʿa	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/8']	The Book of Refinement (Aharon ben Yešuʿa)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Aharon ben Yešuʿa	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
12.xml	https://jalit.org/person/4	Yefet ben ʿEli	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/4']	Introduction to the Commentary on the Book of Deuteronomy (Yefet ben ʿEli)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Yefet ben ʿEli	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
13.xml	https://jalit.org/person/4	Yefet ben ʿEli	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/4']	Commentary on the Book of Deuteronomy (Yefet ben ʿEli)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Yefet ben ʿEli	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
17.xml	https://jalit.org/person/4	Yefet ben ʿEli	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/4']	Commentary on the Book of Numbers (Yefet ben ʿEli)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Yefet ben ʿEli	/*/*[2]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
18.xml	https://jalit.org/person/38	Abū Yūsuf Yaʿqūb b. Isḥāq b. Samʿawayh al-Qirqisānī	/*/*[2]/*/*/*[5]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/38']	Book of Lights and Watchtowers (Abū Yūsuf Yaʿqūb b. Isḥāq b. Samʿawayh al-Qirqisānī)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Abū Yūsuf Yaʿqūb b. Isḥāq b. Samʿawayh al-Qirqisānī	/*/*[3]/*/*/*/*[1]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
19.xml	https://jalit.org/person/11	Yešuʿa ben Yehuda	/*/*[2]/*/*/*[6]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/11']	Long Commentary on the Book of Leviticus (Yešuʿa ben Yehuda)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Yešuʿa ben Yehuda	/*/*[2]/*/*/*/*[3]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
2.xml		Šlomo ben David ha-Nasi	/*/*[3]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='']	al-Mabsūṭ fī l-ʿarayot (Šlomo ben David ha-Nasi)	/*/*[2]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	NA		/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
20.xml	https://jalit.org/person/10	Levi ben Yefet ben ʿElī	/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/10']	Book of Commandments (Levi ben Yefet ben ʿElī)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Levi ben Yefet ben ʿElī	/*/*[2]/*/*/*/*[2]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
21.xml	https://jalit.org/person/10		/*/*[2]/*/*/*[4]	/TEI/text/body/bibl/author[@ref='https://jalit.org/person/10']	The Book of Grace (Levi b. Yefet)	/*/*[1]/*[1]/*[1]/*[1]	/TEI/teiHeader/fileDesc/titleStmt/title[@level='a']	Levi ben Yefet ben ʿElī	/*/*[2]/*/*/*/*[2]/*	/TEI/text/body/listPerson/person/persName[@type='majlis-headword']/name
